parsed,fishbase
Ariomma indicum,Ariomma indicum
Ariomma luridum,Ariomma luridum
Ariomma melanum,Ariomma melanum
Ariomma regulus,Ariomma regulus
Ariomma,NA
Ariopsis felis,Ariopsis felis
Ariosoma anago,Ariosoma anago
Ariosoma balearicum,Ariosoma balearicum
Ariosoma opisthophthalaena,NA
Ariosoma,NA
Ariosoma,NA
Aristostomias,NA
Aristostomias grimaldi,NA
Aristostomias lunifer,Aristostomias lunifer
Aristostomias,NA
Aristostomias tittmanni,Aristostomias tittmanni
Aristostomias xenostoma,Aristostomias xenostoma
Arius,NA
Arius argyropleuron,Plicofollis argyropleuron
Arius hainesi,Amissidens hainesi
Arius leptaspis,Neoarius leptaspis
Arius maculatus,Arius maculatus
Arius,NA
Arius thalassinus,Netuma thalassina
Arnoglossus elongatus,Arnoglossus elongatus
Arnoglossus fisoni,Arnoglossus fisoni
Arnoglossus imperalis,NA
Arnoglossus imperialis,Arnoglossus imperialis
Arnoglossus laterna,Arnoglossus laterna
Arnoglossus macrolophus,Arnoglossus macrolophus
Arnoglossus polyspilus,Arnoglossus polyspilus
Arnoglossus scapha,Arnoglossus scapha
Arnoglossus,NA
Arnoglossus,NA
Arnoglossus,NA
Arnoglossus,NA
Arnoglossus tapeinosoma,Arnoglossus tapeinosoma
Arnoglossus tenuis,Arnoglossus tenuis
Arnoglossus thori,Arnoglossus thori
Arnoglossus unidentifiable,NA
Arnoglossus waitei,Arnoglossus waitei
Arnoglossus yamanakai,Arnoglossus yamanakai
Arothron firmamentum,Arothron firmamentum
Arothron hispidus,Arothron hispidus
Arothron immaculatus,Arothron immaculatus
Arothron manilensis,Arothron manilensis
Arothron mappa,Arothron mappa
Arothron meleagris,Arothron meleagris
Arothron nigropunctatus,Arothron nigropunctatus
Arothron reticularis,Arothron reticularis
Arothron stellatus,Arothron stellatus
Arrhamphus sclerolepis,Arrhamphus sclerolepis
Arripis georgianus,Arripis georgianus
Arripis trutta,Arripis trutta
Arripis truttaceus,Arripis truttacea
Artedidraco lonnebergi,NA
Artedidraco mirus,Artedidraco mirus
Artedidraco orianae,Artedidraco orianae
Artedidraco shackletoni,Artedidraco shackletoni
Artedidraco skottsbergi,Artedidraco skottsbergi
Artedidraco,NA
Artediellus,NA
Artediellus atlanticus,Artediellus atlanticus
Artediellus uncinatus,Artediellus uncinatus
Artedius harringtoni,Artedius harringtoni
Artedius lateralis,Artedius lateralis
Artedius notospilotus,Artedius notospilotus
Ascelichthys rhodorus,Ascelichthys rhodorus
Aseraggodes kaianus,Aseraggodes kaianus
Aseraggodes kobensis,Aseraggodes kobensis
Aseraggodes lenisquamis,Aseraggodes lenisquamis
Aseraggodes melanospilos,NA
Aseraggodes melanostictus,Aseraggodes melanostictus
Aseraggodes normani,Aseraggodes normani
Aseraggodes,NA
Aspasma minima,Aspasma minima
Aspasmogaster costata,Aspasmogaster costata
Aspasmogaster liorhyncha,Aspasmogaster liorhyncha
Aspidontus dussumieri,Aspidontus dussumieri
Aspidontus taeniatus,Aspidontus taeniatus
Aspidophoroides monopterygius,Aspidophoroides monopterygius
Aspidophoroides olriki,Aspidophoroides olrikii
Aspistor luniscutis,Aspistor luniscutis
Aspitrigla cuculus,Chelidonichthys cuculus
Aspitrigla culculus,NA
Aspitriglia cuculus,NA
Assessor macneilli,Assessor macneilli
Asterorhombus intermedius,Asterorhombus intermedius
Asterorhombus,NA
Asterropteryx ensifera,Asterropteryx ensifera
Asterropteryx semipunctata,Asterropteryx semipunctata
Asterropteryx semipunctatus,Asterropteryx semipunctata
Asterropteryx,NA
Asterropteryx spinosus,Asterropteryx spinosa
Asterropteryx striata,Asterropteryx striata
Astrapogon alutus,Astrapogon alutus
Astrapogon puncticulatus,Astrapogon puncticulatus
Astrapogon stellatus,Astrapogon stellatus
Astronesthes,NA
Astronesthes bilobatus,Astronesthes bilobatus
Astronesthes boulengeri,Astronesthes boulengeri
Astronesthes cyaneus,Astronesthes cyaneus
Astronesthes cyclophotus,Astronesthes neopogon
Astronesthes gemmifer,Astronesthes gemmifer
Astronesthes indicus,Astronesthes indicus
Astronesthes leucopogon,Astronesthes leucopogon
