parsed,ebird
Limnodromus semipalmatus,Limnodromus semipalmatus
Limnothlypis swainsonii,Limnothlypis swainsonii
Limosa,NA
Limosa fedoa,Limosa fedoa
Limosa haemastica,Limosa haemastica
Limosa lapponica,Limosa lapponica
Limosa limosa,Limosa limosa
Locustella fasciolata,Locustella fasciolata
Locustella fluviatilis,Locustella fluviatilis
Locustella lanceolata,Locustella lanceolata
Locustella naevia,Locustella naevia
Locustella ochotensis,Locustella ochotensis
Lonchura punctulata,Lonchura punctulata
Lophodytes cucullatus,Lophodytes cucullatus
Lophophanes cristatus,Lophophanes cristatus
Lophophnaes cristatus,NA
Loxia curvirostra,Loxia curvirostra
Loxia leucoptera,Loxia leucoptera
Loxigilla portoricensis,NA
Lugensa brevirostris,NA
Lugensa pterodroma,NA
Luscina calliope,NA
Luscinia akahige,NA
Luscinia calliope,NA
Luscinia cyane,NA
Luscinia luscinia,Luscinia luscinia
Luscinia svecica,Luscinia svecica
Macronectes giganteus,Macronectes giganteus
Macronectes halli,Macronectes halli
Macronectes,NA
Margarops fuscatus,Margarops fuscatus
Megaceryle alcyon,Megaceryle alcyon
Megaceryle lugubris,Megaceryle lugubris
Megadyptes antipodes,Megadyptes antipodes
Megascops kennicottii,Megascops kennicottii
Megascops spec,NA
Melanerpes aurifrons,Melanerpes aurifrons
Melanerpes carolinus,Melanerpes carolinus
Melanerpes erythrocephalus,Melanerpes erythrocephalus
Melanerpes formicivorus,Melanerpes formicivorus
Melanerpes lewis,Melanerpes lewis
Melanerpes portoricensis,Melanerpes portoricensis
Melanerpes uropygialis,Melanerpes uropygialis
Melanerpus carolinus,NA
Melanitta,NA
Melanitta americana,Melanitta americana
Melanitta fusca,Melanitta fusca
Melanitta nigra,Melanitta nigra
Melanitta perspicillata,Melanitta perspicillata
Meleagris gallopavo,Meleagris gallopavo
Melospiza georgiana,Melospiza georgiana
Melospiza lincolnii,Melospiza lincolnii
Melospiza melodia,Melospiza melodia
Mergellus albellus,Mergellus albellus
Mergus,NA
Mergus albellus,NA
Mergus merganser,Mergus merganser
Mergus serrator,Mergus serrator
Micrathene whitneyi,Micrathene whitneyi
Milvus migrans,Milvus migrans
Mimus polyglottos,Mimus polyglottos
Mniotilta varia,Mniotilta varia
Molothrus aeneus,Molothrus aeneus
Molothrus ater,Molothrus ater
Molothrus bonariensis,Molothrus bonariensis
Monticola solitarius,Monticola solitarius
Morus bassanus,Morus bassanus
Morus capensis,Morus capensis
Morus serrator,Morus serrator
Motacilla alba,Motacilla alba
Motacilla cinerea,Motacilla cinerea
Motacilla flava,Motacilla flava
Motacilla grandis,Motacilla grandis
Motacilla personata,NA
Motacillidae,NA
Muscicapa dauurica,Muscicapa dauurica
Muscicapa griseisticta,Muscicapa griseisticta
Muscicapa sibirica,Muscicapa sibirica
Muscicapa,NA
Muscicapa striata,Muscicapa striata
Muscicapidae,NA
Myadestes townsendi,Myadestes townsendi
Myiarchus antillarum,Myiarchus antillarum
Myiarchus cinerascens,Myiarchus cinerascens
Myiarchus crinitus,Myiarchus crinitus
Myiarchus tuberculifer,Myiarchus tuberculifer
Myiarchus tyrannulus,Myiarchus tyrannulus
